,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
158,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,max,lpips_vgg_3,0.48046875,0.3375967523943915,0.15911865234375,0.0
174,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,max,lpips_vgg_4,0.48046875,0.37341424676269075,0.293914794921875,0.0
190,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,max,lpips_vgg_5,0.48046875,0.4273222891286245,0.432891845703125,0.0
15,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.4062382750349502,0.38525390625,0.0
31,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.484375,0.447349365080267,0.442474365234375,0.0234375
47,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.392513120376644,0.351593017578125,0.0
63,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.38955749385787974,0.3438720703125,0.0
79,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.4014441380492505,0.372100830078125,0.0
95,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.4765625,0.4403528958361086,0.4488525390625,0.0078125
111,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,max,lpips_vgg_0,0.48046875,0.4062382750349502,0.38525390625,0.0
127,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,max,lpips_vgg_1,0.484375,0.447349365080267,0.442474365234375,0.0234375
143,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,max,lpips_vgg_2,0.48046875,0.392513120376644,0.351593017578125,0.0
159,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/pixiv,clean,max,lpips_vgg_3,0.48046875,0.38955749385787974,0.3438720703125,0.0
