,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
89,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.528092400853787,0.616790771484375,0.0
109,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.5564894917172543,0.65966796875,0.0
129,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_0,0.48046875,0.5807051974071132,0.685028076171875,0.0
149,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_1,0.48828125,0.6119137372815349,0.710205078125,0.015625
169,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_2,0.48046875,0.6212894888133769,0.72442626953125,0.0
189,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_3,0.48046875,0.5381269244671997,0.61822509765625,0.0
209,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_4,0.48046875,0.528092400853787,0.616790771484375,0.0
229,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_5,0.48046875,0.5564894917172543,0.65966796875,0.0
4,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.4892932941970321,0.544219970703125,0.0
24,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.5,0.661334826131847,0.759490966796875,0.0390625
44,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.5735498670610755,0.658599853515625,0.0
64,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.46829293023505963,0.505767822265625,0.0
84,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.4226344400314757,0.423004150390625,0.0
104,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.4240981561309276,0.425140380859375,0.0
124,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_0,0.48046875,0.4892932941970321,0.544219970703125,0.0
144,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_1,0.5,0.661334826131847,0.759490966796875,0.0390625
164,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_2,0.48046875,0.5735498670610755,0.658599853515625,0.0
184,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_3,0.48046875,0.46829293023505963,0.505767822265625,0.0
204,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_4,0.48046875,0.4226344400314757,0.423004150390625,0.0
224,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_5,0.48046875,0.4240981561309276,0.425140380859375,0.0
2,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.3716826342491277,0.281097412109375,0.0
22,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.4921875,0.495005476640822,0.4896240234375,0.0234375
42,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.4123765103887087,0.367950439453125,0.0
62,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.3704088684002635,0.280914306640625,0.0
82,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3525316480460789,0.22686767578125,0.0
102,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.34766150415943176,0.20953369140625,0.0
122,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_0,0.48046875,0.3716826342491277,0.281097412109375,0.0
142,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_1,0.4921875,0.495005476640822,0.4896240234375,0.0234375
