,fake_dir,transform,repo_id,distance_metric,ap,tpr5fpr
19,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.911222362791738,0.4
36,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9734021190750246,0.86
53,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9566579737372247,0.88
70,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.8690318699189022,0.42
87,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8459659309045129,0.2
104,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_0,0.9444316126289137,0.6
121,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_1,0.911222362791738,0.4
138,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_2,0.9734021190750246,0.86
155,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_3,0.9566579737372247,0.88
172,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_4,0.8690318699189022,0.42
189,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,max,lpips_vgg_5,0.8459659309045129,0.2
7,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9992078431372549,1.0
24,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9519660992848418,0.58
41,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9969342047930283,0.98
58,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,1.0,1.0
75,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9956925030375438,1.0
92,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9743238817750395,0.72
109,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_0,0.9992078431372549,1.0
126,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_1,0.9519660992848418,0.58
143,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_2,0.9969342047930283,0.98
160,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_3,1.0,1.0
177,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_4,0.9956925030375438,1.0
194,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_ukiyo-e,clean,max,lpips_vgg_5,0.9743238817750395,0.72
12,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9586579203940686,0.72
29,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9332482346662674,0.48
46,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.8903087547188124,0.46
63,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9793593387002456,0.94
80,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9170315453988267,0.94
97,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.8523228225882098,0.18
114,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_0,0.9586579203940686,0.72
131,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_1,0.9332482346662674,0.48
148,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_2,0.8903087547188124,0.46
165,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_3,0.9793593387002456,0.94
182,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau,clean,max,lpips_vgg_4,0.9170315453988267,0.94
